Virus_Name	Variant	EPI_ISL_ID
hCoV-19/USA/WA-S12594/2021	Delta	EPI_ISL_5329350
hCoV-19/USA/WA-S12600/2021	Delta	EPI_ISL_5329164
hCoV-19/USA/WA-S12592/2021	Delta	EPI_ISL_5329415
hCoV-19/USA/WA-S12601/2021	Delta	EPI_ISL_5329334
hCoV-19/USA/WA-S12595/2021	Delta	EPI_ISL_5329161
hCoV-19/USA/WA-S12599/2021	Delta	EPI_ISL_5329259
hCoV-19/USA/WA-S12596/2021	Delta	EPI_ISL_5329162
hCoV-19/USA/WA-S12597/2021	Delta	EPI_ISL_5329163
hCoV-19/USA/WA-S12593/2021	Delta	EPI_ISL_5329399
hCoV-19/USA/WA-S12598/2021	Delta	EPI_ISL_5329276
hCoV-19/USA/WA-S12610/2021	Delta	EPI_ISL_5329168
hCoV-19/USA/WA-S12606/2021	Delta	EPI_ISL_5329166
hCoV-19/USA/WA-S12616/2021	Delta	EPI_ISL_5329169
hCoV-19/USA/WA-S12934/2021	Delta	EPI_ISL_5629324
hCoV-19/USA/WA-S12607/2021	Delta	EPI_ISL_5329357
hCoV-19/USA/WA-S12611/2021	Delta	EPI_ISL_5329311
hCoV-19/USA/WA-S12612/2021	Delta	EPI_ISL_5329424
hCoV-19/USA/WA-S12603/2021	Delta	EPI_ISL_5329078
hCoV-19/USA/WA-S12608/2021	Delta	EPI_ISL_5329167
hCoV-19/USA/WA-S12615/2021	Delta	EPI_ISL_5329185
hCoV-19/USA/WA-S12609/2021	Delta	EPI_ISL_5329421
hCoV-19/USA/WA-S12933/2021	Delta	EPI_ISL_5629323
hCoV-19/USA/WA-S12613/2021	Delta	EPI_ISL_5329264
hCoV-19/USA/WA-S13175/2021	Delta	EPI_ISL_5903196
hCoV-19/USA/WA-S12935/2021	Delta	EPI_ISL_5629325
hCoV-19/USA/WA-S12614/2021	Delta	EPI_ISL_5329368
hCoV-19/USA/WA-S12633/2021	Delta	EPI_ISL_5329174
hCoV-19/USA/WA-S12628/2021	Delta	EPI_ISL_5329173
hCoV-19/USA/WA-S12618/2021	Delta	EPI_ISL_5329340
hCoV-19/USA/WA-S12624/2021	Delta	EPI_ISL_5329172
hCoV-19/USA/WA-S12621/2021	Delta	EPI_ISL_5329353
hCoV-19/USA/WA-S12632/2021	Delta	EPI_ISL_5329316
hCoV-19/USA/WA-S12627/2021	Delta	EPI_ISL_5329342
hCoV-19/USA/WA-S12617/2021	Delta	EPI_ISL_5329170
hCoV-19/USA/WA-S12625/2021	Delta	EPI_ISL_5329257
hCoV-19/USA/WA-S15538/2021	Delta	EPI_ISL_8035049
hCoV-19/USA/WA-S12629/2021	Delta	EPI_ISL_5329343
hCoV-19/USA/WA-S15539/2021	Delta	EPI_ISL_8035050
hCoV-19/USA/WA-S12620/2021	Delta	EPI_ISL_5329365
hCoV-19/USA/WA-S12630/2021	Delta	EPI_ISL_5329389
hCoV-19/USA/WA-S12626/2021	Delta	EPI_ISL_5329397
hCoV-19/USA/WA-S12623/2021	Delta	EPI_ISL_5329341
hCoV-19/USA/WA-S15537/2021	Delta	EPI_ISL_8035048
hCoV-19/USA/WA-S12622/2021	Delta	EPI_ISL_5329345
hCoV-19/USA/WA-S12631/2021	Delta	EPI_ISL_5329378
hCoV-19/USA/WA-S15534/2021	Delta	EPI_ISL_8035045
hCoV-19/USA/WA-S12643/2021	Delta	EPI_ISL_5329182
hCoV-19/USA/WA-S12645/2021	Delta	EPI_ISL_5329363
hCoV-19/USA/WA-S12636/2021	Delta	EPI_ISL_5329297
hCoV-19/USA/WA-S15536/2021	Delta	EPI_ISL_8035047
hCoV-19/USA/WA-S12634/2021	Delta	EPI_ISL_5329175
hCoV-19/USA/WA-S12639/2021	Delta	EPI_ISL_5329366
hCoV-19/USA/WA-S15535/2021	Delta	EPI_ISL_8035046
hCoV-19/USA/WA-S12638/2021	Delta	EPI_ISL_5329377
hCoV-19/USA/WA-S12640/2021	Delta	EPI_ISL_5329298
hCoV-19/USA/WA-S12635/2021	Delta	EPI_ISL_5329176
hCoV-19/USA/WA-S15533/2021	Delta	EPI_ISL_8035044
hCoV-19/USA/WA-S12646/2021	Delta	EPI_ISL_5329302
hCoV-19/USA/WA-S12644/2021	Delta	EPI_ISL_5329080
hCoV-19/USA/WA-S12642/2021	Delta	EPI_ISL_5329181
hCoV-19/USA/WA-S15532/2021	Delta	EPI_ISL_8035043
hCoV-19/USA/WA-S12641/2021	Delta	EPI_ISL_5329079
hCoV-19/USA/WA-S12637/2021	Delta	EPI_ISL_5329364
hCoV-19/USA/WA-S15540/2021	Delta	EPI_ISL_8035051
hCoV-19/USA/WA-S15545/2021	Delta	EPI_ISL_8035056
hCoV-19/USA/WA-S15551/2021	Delta	EPI_ISL_8035062
hCoV-19/USA/WA-S15558/2021	Delta	EPI_ISL_8035069
hCoV-19/USA/WA-S15556/2021	Delta	EPI_ISL_8035067
hCoV-19/USA/WA-S15546/2021	Delta	EPI_ISL_8035057
hCoV-19/USA/WA-S15548/2021	Delta	EPI_ISL_8035059
hCoV-19/USA/WA-S15549/2021	Delta	EPI_ISL_8035060
hCoV-19/USA/WA-S15552/2021	Delta	EPI_ISL_8035063
hCoV-19/USA/WA-S15550/2021	Delta	EPI_ISL_8035061
hCoV-19/USA/WA-S15543/2021	Delta	EPI_ISL_8035054
hCoV-19/USA/WA-S15541/2021	Delta	EPI_ISL_8035052
hCoV-19/USA/WA-S15547/2021	Delta	EPI_ISL_8035058
hCoV-19/USA/WA-S15555/2021	Delta	EPI_ISL_8035066
hCoV-19/USA/WA-S15553/2021	Delta	EPI_ISL_8035064
hCoV-19/USA/WA-S15557/2021	Delta	EPI_ISL_8035068
hCoV-19/USA/WA-S15559/2021	Delta	EPI_ISL_8035070
hCoV-19/USA/WA-S15569/2021	Delta	EPI_ISL_8035080
hCoV-19/USA/WA-S15562/2021	Delta	EPI_ISL_8035073
hCoV-19/USA/WA-S15564/2021	Delta	EPI_ISL_8035075
hCoV-19/USA/WA-S13183/2021	Delta	EPI_ISL_5903204
hCoV-19/USA/WA-S15568/2021	Delta	EPI_ISL_8035079
hCoV-19/USA/WA-S15574/2021	Delta	EPI_ISL_8035085
hCoV-19/USA/WA-S15566/2021	Delta	EPI_ISL_8035077
hCoV-19/USA/WA-S15573/2021	Delta	EPI_ISL_8035084
hCoV-19/USA/WA-S15567/2021	Delta	EPI_ISL_8035078
hCoV-19/USA/WA-S15563/2021	Delta	EPI_ISL_8035074
hCoV-19/USA/WA-S15565/2021	Delta	EPI_ISL_8035076
hCoV-19/USA/WA-S15572/2021	Delta	EPI_ISL_8035083
hCoV-19/USA/WA-S15571/2021	Delta	EPI_ISL_8035082
hCoV-19/USA/WA-S15576/2021	Delta	EPI_ISL_8035087
hCoV-19/USA/WA-S15582/2021	Delta	EPI_ISL_8035093
hCoV-19/USA/WA-S15575/2021	Delta	EPI_ISL_8035086
hCoV-19/USA/WA-S15570/2021	Delta	EPI_ISL_8035081
hCoV-19/USA/WA-S15583/2021	Delta	EPI_ISL_8035094
hCoV-19/USA/WA-S15587/2021	Delta	EPI_ISL_8035098
hCoV-19/USA/WA-S15577/2021	Delta	EPI_ISL_8035088
hCoV-19/USA/WA-S15578/2021	Delta	EPI_ISL_8035089
hCoV-19/USA/WA-S15586/2021	Delta	EPI_ISL_8035097
hCoV-19/USA/WA-S15580/2021	Delta	EPI_ISL_8035091
hCoV-19/USA/WA-S15588/2021	Delta	EPI_ISL_8035099
hCoV-19/USA/WA-S15585/2021	Delta	EPI_ISL_8035096
hCoV-19/USA/WA-S15581/2021	Delta	EPI_ISL_8035092
hCoV-19/USA/WA-S15584/2021	Delta	EPI_ISL_8035095
hCoV-19/USA/WA-S15598/2021	Delta	EPI_ISL_8035109
hCoV-19/USA/WA-S15589/2021	Delta	EPI_ISL_8035100
hCoV-19/USA/WA-S14849/2021	Delta	EPI_ISL_7285363
hCoV-19/USA/WA-S15596/2021	Delta	EPI_ISL_8035107
hCoV-19/USA/WA-S15597/2021	Delta	EPI_ISL_8035108
hCoV-19/USA/WA-S15591/2021	Delta	EPI_ISL_8035102
hCoV-19/USA/WA-S15594/2021	Delta	EPI_ISL_8035105
hCoV-19/USA/WA-S15590/2021	Delta	EPI_ISL_8035101
hCoV-19/USA/WA-S15595/2021	Delta	EPI_ISL_8035106
hCoV-19/USA/WA-S15599/2021	Delta	EPI_ISL_8035110
hCoV-19/USA/WA-S14847/2021	Delta	EPI_ISL_7285408
hCoV-19/USA/WA-S14846/2021	Delta	EPI_ISL_7285407
hCoV-19/USA/WA-S14852/2021	Delta	EPI_ISL_7285409
hCoV-19/USA/WA-S14853/2021	Delta	EPI_ISL_7285337
hCoV-19/USA/WA-S13207/2021	Delta	EPI_ISL_5903228
hCoV-19/USA/WA-S13206/2021	Delta	EPI_ISL_5903227
hCoV-19/USA/WA-S14850/2021	Delta	EPI_ISL_7285336
hCoV-19/USA/WA-S13205/2021	Delta	EPI_ISL_5903226
hCoV-19/USA/WA-S13204/2021	Delta	EPI_ISL_5903225
hCoV-19/USA/WA-S13217/2021	Delta	EPI_ISL_5903238
hCoV-19/USA/WA-S13218/2021	Delta	EPI_ISL_5903239
hCoV-19/USA/WA-S13219/2021	Delta	EPI_ISL_5903240
hCoV-19/USA/WA-S13221/2021	Delta	EPI_ISL_5903242
hCoV-19/USA/WA-S13222/2021	Delta	EPI_ISL_5903243
hCoV-19/USA/WA-S13223/2021	Delta	EPI_ISL_5903244
hCoV-19/USA/WA-S13228/2021	Delta	EPI_ISL_5903249
hCoV-19/USA/WA-S13226/2021	Delta	EPI_ISL_5903247
hCoV-19/USA/WA-S13225/2021	Delta	EPI_ISL_5903246
hCoV-19/USA/WA-S13232/2021	Delta	EPI_ISL_5903253
hCoV-19/USA/WA-S13233/2021	Delta	EPI_ISL_5903254
hCoV-19/USA/WA-S13235/2021	Delta	EPI_ISL_5903256
hCoV-19/USA/WA-S13236/2021	Delta	EPI_ISL_5903257
hCoV-19/USA/WA-S13237/2021	Delta	EPI_ISL_5903258
hCoV-19/USA/WA-S13243/2021	Delta	EPI_ISL_5903264
hCoV-19/USA/WA-S14862/2021	Delta	EPI_ISL_7285415
hCoV-19/USA/WA-S15051/2021	Delta	EPI_ISL_7285343
hCoV-19/USA/WA-S15052/2021	Delta	EPI_ISL_7285577
hCoV-19/USA/WA-S15050/2021	Delta	EPI_ISL_7285393
hCoV-19/USA/WA-S15345/2021	Delta	EPI_ISL_7812620
hCoV-19/USA/WA-S15054/2021	Delta	EPI_ISL_7285353
hCoV-19/USA/WA-S15053/2021	Delta	EPI_ISL_7285578
hCoV-19/USA/WA-S15187/2021	Delta	EPI_ISL_7285679
hCoV-19/USA/WA-S15603/2021	Delta	EPI_ISL_8035114
hCoV-19/USA/WA-S15647/2021	Delta	EPI_ISL_8035156
hCoV-19/USA/WA-S15649/2021	Delta	EPI_ISL_8035158
hCoV-19/USA/WA-S15646/2021	Delta	EPI_ISL_8035155
hCoV-19/USA/WA-S15651/2021	Delta	EPI_ISL_8035159
hCoV-19/USA/WA-S15652/2021	Delta	EPI_ISL_8035160
hCoV-19/USA/WA-S15660/2021	Delta	EPI_ISL_8035168
hCoV-19/USA/WA-S15659/2021	Delta	EPI_ISL_8035167
hCoV-19/USA/WA-S15663/2021	Delta	EPI_ISL_8035171
hCoV-19/USA/WA-S15662/2021	Delta	EPI_ISL_8035170
hCoV-19/USA/WA-S15661/2021	Delta	EPI_ISL_8035169
hCoV-19/USA/WA-S15681/2021	Delta	EPI_ISL_8035189
hCoV-19/USA/WA-S15680/2021	Delta	EPI_ISL_8035188
hCoV-19/USA/WA-S16159/2021	Delta	EPI_ISL_8822478
hCoV-19/USA/WA-S15679/2021	Delta	EPI_ISL_8035187
hCoV-19/USA/WA-S15712/2021	Delta	EPI_ISL_8035218
hCoV-19/USA/WA-S15718/2021	Delta	EPI_ISL_8035224
hCoV-19/USA/WA-S15717/2021	Delta	EPI_ISL_8035223
hCoV-19/USA/WA-S15505/2021	Delta	EPI_ISL_7812780
hCoV-19/USA/WA-S15766/2021	Delta	EPI_ISL_8035269
hCoV-19/USA/WA-S15792/2021	Delta	EPI_ISL_8035295
hCoV-19/USA/WA-S15929/2021	Delta	EPI_ISL_8822243
hCoV-19/USA/WA-S15962/2021	Delta	EPI_ISL_8822277
hCoV-19/USA/WA-S16001/2021	Delta	EPI_ISL_8822317
hCoV-19/USA/WA-S16268/2022	Delta	EPI_ISL_9060325
hCoV-19/USA/WA-S16311/2022	Delta	EPI_ISL_9060367
hCoV-19/USA/WA-S16778/2022	Delta	EPI_ISL_9271980
hCoV-19/USA/WA-S16674/2022	Delta	EPI_ISL_9271878
hCoV-19/USA/WA-S16970/2022	Delta	EPI_ISL_9346790
hCoV-19/USA/WA-S15497/2021	Omicron	EPI_ISL_7812772
hCoV-19/USA/WA-S15499/2021	Omicron	EPI_ISL_7812774
hCoV-19/USA/WA-S15504/2021	Omicron	EPI_ISL_7812779
hCoV-19/USA/WA-S15719/2021	Omicron	EPI_ISL_8035225
hCoV-19/USA/WA-S15501/2021	Omicron	EPI_ISL_7812776
hCoV-19/USA/WA-S15743/2021	Omicron	EPI_ISL_8035246
hCoV-19/USA/WA-S15723/2021	Omicron	EPI_ISL_8035229
hCoV-19/USA/WA-S15726/2021	Omicron	EPI_ISL_8035231
hCoV-19/USA/WA-S15725/2021	Omicron	EPI_ISL_8035230
hCoV-19/USA/WA-S15727/2021	Omicron	EPI_ISL_8035232
hCoV-19/USA/WA-S15721/2021	Omicron	EPI_ISL_8035227
hCoV-19/USA/WA-S15720/2021	Omicron	EPI_ISL_8035226
hCoV-19/USA/WA-S15746/2021	Omicron	EPI_ISL_8035249
hCoV-19/USA/WA-S15757/2021	Omicron	EPI_ISL_8035260
hCoV-19/USA/WA-S15759/2021	Omicron	EPI_ISL_8035262
hCoV-19/USA/WA-S15756/2021	Omicron	EPI_ISL_8035259
hCoV-19/USA/WA-S15748/2021	Omicron	EPI_ISL_8035251
hCoV-19/USA/WA-S15745/2021	Omicron	EPI_ISL_8035248
hCoV-19/USA/WA-S15755/2021	Omicron	EPI_ISL_8035258
hCoV-19/USA/WA-S15758/2021	Omicron	EPI_ISL_8035261
hCoV-19/USA/WA-S15747/2021	Omicron	EPI_ISL_8035250
hCoV-19/USA/WA-S15744/2021	Omicron	EPI_ISL_8035247
hCoV-19/USA/WA-S15749/2021	Omicron	EPI_ISL_8035252
hCoV-19/USA/WA-S15750/2021	Omicron	EPI_ISL_8035253
hCoV-19/USA/WA-S15760/2021	Omicron	EPI_ISL_8035263
hCoV-19/USA/WA-S15764/2021	Omicron	EPI_ISL_8035267
hCoV-19/USA/WA-S15765/2021	Omicron	EPI_ISL_8035268
hCoV-19/USA/WA-S15767/2021	Omicron	EPI_ISL_8035270
hCoV-19/USA/WA-S15768/2021	Omicron	EPI_ISL_8035271
hCoV-19/USA/WA-S15762/2021	Omicron	EPI_ISL_8035265
hCoV-19/USA/WA-S15769/2021	Omicron	EPI_ISL_8035272
hCoV-19/USA/WA-S15777/2021	Omicron	EPI_ISL_8035280
hCoV-19/USA/WA-S15776/2021	Omicron	EPI_ISL_8035279
hCoV-19/USA/WA-S15772/2021	Omicron	EPI_ISL_8035275
hCoV-19/USA/WA-S15778/2021	Omicron	EPI_ISL_8035281
hCoV-19/USA/WA-S15774/2021	Omicron	EPI_ISL_8035277
hCoV-19/USA/WA-S15775/2021	Omicron	EPI_ISL_8035278
hCoV-19/USA/WA-S15788/2021	Omicron	EPI_ISL_8035291
hCoV-19/USA/WA-S15787/2021	Omicron	EPI_ISL_8035290
hCoV-19/USA/WA-S15786/2021	Omicron	EPI_ISL_8035289
hCoV-19/USA/WA-S15791/2021	Omicron	EPI_ISL_8035294
hCoV-19/USA/WA-S15795/2021	Omicron	EPI_ISL_8035298
hCoV-19/USA/WA-S15793/2021	Omicron	EPI_ISL_8035296
hCoV-19/USA/WA-S15789/2021	Omicron	EPI_ISL_8035292
hCoV-19/USA/WA-S15796/2021	Omicron	EPI_ISL_8035299
hCoV-19/USA/WA-S15790/2021	Omicron	EPI_ISL_8035293
hCoV-19/USA/WA-S15794/2021	Omicron	EPI_ISL_8035297
hCoV-19/USA/WA-S15825/2021	Omicron	EPI_ISL_8035327
hCoV-19/USA/WA-S15827/2021	Omicron	EPI_ISL_8035329
hCoV-19/USA/WA-S15824/2021	Omicron	EPI_ISL_8035326
hCoV-19/USA/WA-S16164/2021	Omicron	EPI_ISL_8822483
hCoV-19/USA/WA-S15823/2021	Omicron	EPI_ISL_8035325
hCoV-19/USA/WA-S16171/2021	Omicron	EPI_ISL_8822491
hCoV-19/USA/WA-S16169/2021	Omicron	EPI_ISL_8822489
hCoV-19/USA/WA-S16173/2021	Omicron	EPI_ISL_8822493
hCoV-19/USA/WA-S16170/2021	Omicron	EPI_ISL_8822490
hCoV-19/USA/WA-S16172/2021	Omicron	EPI_ISL_8822492
hCoV-19/USA/WA-S16177/2021	Omicron	EPI_ISL_8822497
hCoV-19/USA/WA-S16184/2021	Omicron	EPI_ISL_8822504
hCoV-19/USA/WA-S16175/2021	Omicron	EPI_ISL_8822495
hCoV-19/USA/WA-S16176/2021	Omicron	EPI_ISL_8822496
hCoV-19/USA/WA-S16174/2021	Omicron	EPI_ISL_8822494
hCoV-19/USA/WA-S15842/2021	Omicron	EPI_ISL_8822154
hCoV-19/USA/WA-S15829/2021	Omicron	EPI_ISL_8822141
hCoV-19/USA/WA-S15833/2021	Omicron	EPI_ISL_8822145
hCoV-19/USA/WA-S16186/2021	Omicron	EPI_ISL_8822506
hCoV-19/USA/WA-S15831/2021	Omicron	EPI_ISL_8822143
hCoV-19/USA/WA-S16185/2021	Omicron	EPI_ISL_8822505
hCoV-19/USA/WA-S16189/2021	Omicron	EPI_ISL_8822509
hCoV-19/USA/WA-S15828/2021	Omicron	EPI_ISL_8822140
hCoV-19/USA/WA-S15841/2021	Omicron	EPI_ISL_8822153
hCoV-19/USA/WA-S16187/2021	Omicron	EPI_ISL_8822507
hCoV-19/USA/WA-S15832/2021	Omicron	EPI_ISL_8822144
hCoV-19/USA/WA-S15830/2021	Omicron	EPI_ISL_8822142
hCoV-19/USA/WA-S16188/2021	Omicron	EPI_ISL_8822508
hCoV-19/USA/WA-S15843/2021	Omicron	EPI_ISL_8822155
hCoV-19/USA/WA-S15863/2021	Omicron	EPI_ISL_8822176
hCoV-19/USA/WA-S15864/2021	Omicron	EPI_ISL_8822177
hCoV-19/USA/WA-S15846/2021	Omicron	EPI_ISL_8822158
hCoV-19/USA/WA-S15850/2021	Omicron	EPI_ISL_8822163
hCoV-19/USA/WA-S15845/2021	Omicron	EPI_ISL_8822157
hCoV-19/USA/WA-S15847/2021	Omicron	EPI_ISL_8822160
hCoV-19/USA/WA-S15860/2021	Omicron	EPI_ISL_8822173
hCoV-19/USA/WA-S15862/2021	Omicron	EPI_ISL_8822175
hCoV-19/USA/WA-S15866/2021	Omicron	EPI_ISL_8822179
hCoV-19/USA/WA-S15865/2021	Omicron	EPI_ISL_8822178
hCoV-19/USA/WA-S15844/2021	Omicron	EPI_ISL_8822156
hCoV-19/USA/WA-S15861/2021	Omicron	EPI_ISL_8822174
hCoV-19/USA/WA-S15851/2021	Omicron	EPI_ISL_8822164
hCoV-19/USA/WA-S15848/2021	Omicron	EPI_ISL_8822161
hCoV-19/USA/WA-S15881/2021	Omicron	EPI_ISL_8822195
hCoV-19/USA/WA-S15920/2021	Omicron	EPI_ISL_8822234
hCoV-19/USA/WA-S15882/2021	Omicron	EPI_ISL_8822196
hCoV-19/USA/WA-S15872/2021	Omicron	EPI_ISL_8822185
hCoV-19/USA/WA-S15875/2021	Omicron	EPI_ISL_8822188
hCoV-19/USA/WA-S15880/2021	Omicron	EPI_ISL_8822194
hCoV-19/USA/WA-S15867/2021	Omicron	EPI_ISL_8822180
hCoV-19/USA/WA-S15869/2021	Omicron	EPI_ISL_8822182
hCoV-19/USA/WA-S15926/2021	Omicron	EPI_ISL_8822240
hCoV-19/USA/WA-S15868/2021	Omicron	EPI_ISL_8822181
hCoV-19/USA/WA-S15878/2021	Omicron	EPI_ISL_8822192
hCoV-19/USA/WA-S15871/2021	Omicron	EPI_ISL_8822184
hCoV-19/USA/WA-S15870/2021	Omicron	EPI_ISL_8822183
hCoV-19/USA/WA-S15879/2021	Omicron	EPI_ISL_8822193
hCoV-19/USA/WA-S15873/2021	Omicron	EPI_ISL_8822186
hCoV-19/USA/WA-S15877/2021	Omicron	EPI_ISL_8822190
hCoV-19/USA/WA-S15874/2021	Omicron	EPI_ISL_8822187
hCoV-19/USA/WA-S15925/2021	Omicron	EPI_ISL_8822239
hCoV-19/USA/WA-S15966/2021	Omicron	EPI_ISL_8822281
hCoV-19/USA/WA-S16202/2021	Omicron	EPI_ISL_9060259
hCoV-19/USA/WA-S15951/2021	Omicron	EPI_ISL_8822266
hCoV-19/USA/WA-S15927/2021	Omicron	EPI_ISL_8822241
hCoV-19/USA/WA-S15960/2021	Omicron	EPI_ISL_8822275
hCoV-19/USA/WA-S15922/2021	Omicron	EPI_ISL_8822236
hCoV-19/USA/WA-S15933/2021	Omicron	EPI_ISL_8822247
hCoV-19/USA/WA-S15959/2021	Omicron	EPI_ISL_8822274
hCoV-19/USA/WA-S15923/2021	Omicron	EPI_ISL_8822237
hCoV-19/USA/WA-S15928/2021	Omicron	EPI_ISL_8822242
hCoV-19/USA/WA-S15955/2021	Omicron	EPI_ISL_8822270
hCoV-19/USA/WA-S15954/2021	Omicron	EPI_ISL_8822269
hCoV-19/USA/WA-S15934/2021	Omicron	EPI_ISL_8822248
hCoV-19/USA/WA-S15958/2021	Omicron	EPI_ISL_8822273
hCoV-19/USA/WA-S15930/2021	Omicron	EPI_ISL_8822244
hCoV-19/USA/WA-S15961/2021	Omicron	EPI_ISL_8822276
hCoV-19/USA/WA-S15956/2021	Omicron	EPI_ISL_8822271
hCoV-19/USA/WA-S15932/2021	Omicron	EPI_ISL_8822246
hCoV-19/USA/WA-S15924/2021	Omicron	EPI_ISL_8822238
hCoV-19/USA/WA-S15952/2021	Omicron	EPI_ISL_8822267
hCoV-19/USA/WA-S15953/2021	Omicron	EPI_ISL_8822268
hCoV-19/USA/WA-S15921/2021	Omicron	EPI_ISL_8822235
hCoV-19/USA/WA-S15963/2021	Omicron	EPI_ISL_8822278
hCoV-19/USA/WA-S15957/2021	Omicron	EPI_ISL_8822272
hCoV-19/USA/WA-S16203/2021	Omicron	EPI_ISL_9060260
hCoV-19/USA/WA-S16204/2021	Omicron	EPI_ISL_9060261
hCoV-19/USA/WA-S15964/2021	Omicron	EPI_ISL_8822279
hCoV-19/USA/WA-S15931/2021	Omicron	EPI_ISL_8822245
hCoV-19/USA/WA-S15965/2021	Omicron	EPI_ISL_8822280
hCoV-19/USA/WA-S15975/2021	Omicron	EPI_ISL_8822290
hCoV-19/USA/WA-S15991/2021	Omicron	EPI_ISL_8822306
hCoV-19/USA/WA-S16215/2021	Omicron	EPI_ISL_9060272
hCoV-19/USA/WA-S15993/2021	Omicron	EPI_ISL_8822309
hCoV-19/USA/WA-S15977/2021	Omicron	EPI_ISL_8822292
hCoV-19/USA/WA-S15972/2021	Omicron	EPI_ISL_8822287
hCoV-19/USA/WA-S15995/2021	Omicron	EPI_ISL_8822311
hCoV-19/USA/WA-S15997/2021	Omicron	EPI_ISL_8822313
hCoV-19/USA/WA-S15982/2021	Omicron	EPI_ISL_8822297
hCoV-19/USA/WA-S15984/2021	Omicron	EPI_ISL_8822299
hCoV-19/USA/WA-S15989/2021	Omicron	EPI_ISL_8822304
hCoV-19/USA/WA-S15983/2021	Omicron	EPI_ISL_8822298
hCoV-19/USA/WA-S15987/2021	Omicron	EPI_ISL_8822302
hCoV-19/USA/WA-S16002/2021	Omicron	EPI_ISL_8822318
hCoV-19/USA/WA-S15998/2021	Omicron	EPI_ISL_8822314
hCoV-19/USA/WA-S16223/2021	Omicron	EPI_ISL_9060280
hCoV-19/USA/WA-S16218/2021	Omicron	EPI_ISL_9060275
hCoV-19/USA/WA-S16000/2021	Omicron	EPI_ISL_8822316
hCoV-19/USA/WA-S15996/2021	Omicron	EPI_ISL_8822312
hCoV-19/USA/WA-S15974/2021	Omicron	EPI_ISL_8822289
hCoV-19/USA/WA-S15979/2021	Omicron	EPI_ISL_8822294
hCoV-19/USA/WA-S15973/2021	Omicron	EPI_ISL_8822288
hCoV-19/USA/WA-S15990/2021	Omicron	EPI_ISL_8822305
hCoV-19/USA/WA-S16216/2021	Omicron	EPI_ISL_9060273
hCoV-19/USA/WA-S15988/2021	Omicron	EPI_ISL_8822303
hCoV-19/USA/WA-S16012/2021	Omicron	EPI_ISL_8822328
hCoV-19/USA/WA-S15978/2021	Omicron	EPI_ISL_8822293
hCoV-19/USA/WA-S15992/2021	Omicron	EPI_ISL_8822307
hCoV-19/USA/WA-S15994/2021	Omicron	EPI_ISL_8822310
hCoV-19/USA/WA-S15986/2021	Omicron	EPI_ISL_8822301
hCoV-19/USA/WA-S15971/2021	Omicron	EPI_ISL_8822286
hCoV-19/USA/WA-S15981/2021	Omicron	EPI_ISL_8822296
hCoV-19/USA/WA-S15976/2021	Omicron	EPI_ISL_8822291
hCoV-19/USA/WA-S15980/2021	Omicron	EPI_ISL_8822295
hCoV-19/USA/WA-S16018/2021	Omicron	EPI_ISL_8822334
hCoV-19/USA/WA-S16003/2021	Omicron	EPI_ISL_8822319
